Rosas;Oreja de Van Gogh;Lo que te conte mientras te hacias la dormida;2003;https://www.youtube.com/watch?v=nYnLVWXmRm8;/canciones/Rosas.mid;;;;;;;;;
Me;gusta;su;cocina,;me;gustas;tú;;;;;;;;
Me;gusta;camelar,;me;gustas;tú;;;;;;;;;
Me;gusta;la;guitarra,;me;gustas;tú;;;;;;;;
Me;gusta;el;reggae,;me;gustas;tú;;;;;;;;
-;;;;;;;;;;;;;;
¿Qué;voy;a;hacer?;Je;ne;sais;pas;;;;;;;
¿Qué;voy;a;hacer?;Je;ne;sais;plus;;;;;;;
¿Qué;voy;a;hacer?;Je;suis;perdu;;;;;;;;
¿Qué;horas;son,;mi;corazón?;;;;;;;;;;
-;;;;;;;;;;;;;;
Me;gusta;la;canela,;me;gustas;tú;;;;;;;;
Me;gusta;el;fuego,;me;gustas;tú;;;;;;;;
Me;gusta;menear,;me;gustas;tú;;;;;;;;;
Me;gusta;La;Coruña,;me;gustas;tú;;;;;;;;
Me;gusta;Malasaña,;me;gustas;tú;;;;;;;;;
Me;gusta;la;castaña,;me;gustas;tú;;;;;;;;
Me;gusta;Guatemala;(Me;gustas;tú);;;;;;;;;
¿Qué;voy;a;hacer?;Je;ne;sais;pas;;;;;;;
¿Qué;voy;a;hacer?;Je;ne;sais;plus;;;;;;;
¿Qué;voy;a;hacer?;Je;suis;perdu;;;;;;;;
¿Qué;horas;son,;mi;corazón?;;;;;;;;;;
-;;;;;;;;;;;;;;
¿Qué;voy;a;hacer?;Je;ne;sais;pas;;;;;;;
¿Qué;voy;a;hacer?;Je;ne;sais;plus;;;;;;;
¿Qué;voy;a;hacer?;Je;suis;perdu;;;;;;;;
¿Qué;horas;son,;mi;corazón?;;;;;;;;;;
¿Qué;voy;a;hacer?;Je;ne;sais;pas;;;;;;;
¿Qué;voy;a;hacer?;Je;ne;sais;plus;;;;;;;
¿Qué;voy;a;hacer?;Je;suis;perdu;;;;;;;;
¿Qué;horas;son,;mi;corazón?;;;;;;;;;;
-;;;;;;;;;;;;;;
¿Qué;horas;son,;mi;corazón?;;;;;;;;;;
(¿Qué;horas;son,;mi;corazón?);;;;;;;;;;
¿Qué;horas;son,;mi;corazón?;;;;;;;;;;
-;;;;;;;;;;;;;;
¿Qué;horas;son,;mi;corazón?;;;;;;;;;;
¿Qué;horas;son,;mi;corazón?;;;;;;;;;;
-;;;;;;;;;;;;;;
Cuatro;de;la;mañana;;;;;;;;;;;
A;la;bin,;a;la;ban,;a;la;bin,;bon,;ban;;;;
A;la;bin,;a;la;ban,;a;la;bin,;bon,;ban;;;;
Obladí,;obladá,;obladí,;da,;da;;;;;;;;;;
A;la;bin,;a;la;ban,;a;la;bin,;bon,;ban;;;;
Radio;Reloj,;cinco;de;la;mañana;;;;;;;;;
No;todo;lo;que;es;oro;brilla;;;;;;;;
Remedio;chino;e;infalible;;;;;;;;;;;
##;;;;;;;;;;;;;;
Rayando el sol;Mana;Falta amor;1990;https://www.youtube.com/watch?v=bE3ABNHDnAc;canciones/Rayando_el_sol.mid;;;;;;;;;
Rayando;el;sol;;;;;;;;;;;;
Rayando;por;ti;;;;;;;;;;;;
Esta;pena,;me;duele,;me;quema;sin;tu;amor;;;;;;
Nome;llamado;estoy;desesperado;;;;;;;;;;;
Son;las;que;te;he;llorado;;;;;;;;;
Rayando;el;sol,;desesperación;;;;;;;;;;;
Es;más;fácil;llegar;al;sol;que;a;tu;corazón;;;;;
Me;muero;por;ti,;viviendo;sin;ti;;;;;;;;
Y;no;aguanto,;me;duele;tanto;estar;así;;;;;;;
Rayando;el;sol;;;;;;;;;;;;
A;tu;casa;yo;fui;;;;;;;;;;
Y;no;te;encontré;;;;;;;;;;;
En;el;parque,;en;la;plaza,;en;el;cine;yo;te;busqué;;;
Te;tengo;atrapada;entre;mi;piel;y;mi;alma;;;;;;
Mas;ya;no;puedo;tanto;y;quiero;estar;junto;a;ti;;;;
Rayando;el;sol,;desesperación;;;;;;;;;;;
Es;más;fácil;llegar;al;sol;que;a;tu;corazón;;;;;
Y;yo;me;muero;por;ti,;viviendo;sin;ti;;;;;;
Y;no;aguanto,;me;duele;tanto;estar;así;;;;;;;
Rayando;el;sol;;;;;;;;;;;;
Rayando;el;sol,;desesperación;;;;;;;;;;;
Esmás;fácil;llegar;al;sol;que;a;tu;corazón;;;;;;
Y;yo;me;muero;por;ti,;viviendo;sin;ti;;;;;;
Y;no;aguanto,;me;duele;tanto;estar;así;;;;;;;
Y;rayando,;rayando;el;sol;;;;;;;;;;
Rayando;el;sol;;;;;;;;;;;;
Rayando;el;sol;;;;;;;;;;;;
Rayando;el;sol;(eh);;;;;;;;;;;
##;;;;;;;;;;;;;;
A dios le pido;Juanes;Un día normal;2007;https://www.youtube.com/watch?v=rs6Y4kZ8qtw;canciones/A_Dios_le_pido.mid;;;;;;;;;
Que;mis;ojos;se;despierten;con;la;luz;de;tu;mirada,;yo;;;
A;Dios;le;pido;;;;;;;;;;;
Que;mi;madre;no;se;muera;y;que;mi;padre;me;recuerde;;;
A;Dios;le;pido;;;;;;;;;;;
Que;te;quedes;a;mi;lado;y;que;más;nunca;te;me;vayas,;mi;vida
A;Dios;le;pido;;;;;;;;;;;
Que;mi;alma;no;descanse;cuando;de;amarte;se;trate,;mi;cielo;;;
A;Dios;le;pido;;;;;;;;;;;
Por;los;días;que;me;quedan,;y;las;noches;que;aún;no;llegan,;yo;
A;Dios;le;pido;;;;;;;;;;;
Por;los;hijos;de;mis;hijos;y;los;hijos;de;tus;hijos;;;
A;Dios;le;pido;;;;;;;;;;;
Que;mi;pueblo;no;derrame;tanta;sangre;y;se;levante;mi;gente;;;
A;Dios;le;pido;;;;;;;;;;;
Que;mi;alma;no;descanse;cuando;de;amarte;se;trate,;mi;cielo;;;
A;Dios;le;pido;;;;;;;;;;;
--;;;;;;;;;;;;;;
Un;segundo;más;de;vida;para;darte;;;;;;;;
Y;mi;corazón;entero;entregarte;;;;;;;;;;
Un;segundo;más;de;vida;para;darte;;;;;;;;
Y;a;tu;lado;para;siempre;yo;quedarme;;;;;;;
Un;segundo;más;de;vida,;yo;;;;;;;;;
A;Dios;le;pido;;;;;;;;;;;
Que;si;me;muero;sea;de;amor;;;;;;;;
Y;si;me;enamoro;sea;de;vos;;;;;;;;
Y;que;de;tu;voz;sea;este;corazón;;;;;;;
Todos;los;días;a;Dios;le;pido;;;;;;;;
Que;si;me;muero;sea;de;amor;;;;;;;;
Y;si;me;enamoro;sea;de;vos;;;;;;;;
Y;que;de;tu;voz;sea;este;corazón;;;;;;;
Todos;los;días;a;Dios;le;pido;;;;;;;;
A;Dios;le;pido;;;;;;;;;;;
--;;;;;;;;;;;;;;
Que;mis;ojos;se;despierten;con;la;luz;de;tu;mirada,;yo;;;
A;Dios;le;pido;;;;;;;;;;;
Que;mi;madre;no;se;muera;y;que;mi;padre;me;recuerde;;;
A;Dios;le;pido;;;;;;;;;;;
Que;te;quedes;a;mi;lado;y;que;más;nunca;te;me;vayas,;mi;vida
A;Dios;le;pido;;;;;;;;;;;
Que;mi;alma;no;descanse;cuando;de;amarte;se;trate,;mi;cielo;;;
A;Dios;le;pido;;;;;;;;;;;
--;;;;;;;;;;;;;;
Un;segundo;más;de;vida;para;darte;;;;;;;;
Y;mi;corazón;entero;entregarte;;;;;;;;;;
Un;segundo;más;de;vida;para;darte;;;;;;;;
Y;a;tu;lado;para;siempre;yo;quedarme;;;;;;;
Un;segundo;más;de;vida,;yo;;;;;;;;;
A;Dios;le;pido;;;;;;;;;;;
Que;si;me;muero;sea;de;amor;;;;;;;;
Y;si;me;enamoro;sea;de;vos;;;;;;;;
Y;que;de;tu;voz;sea;este;corazón;;;;;;;
Todos;los;días;a;Dios;le;pido;;;;;;;;
Que;si;me;muero;sea;de;amor;;;;;;;;
Y;si;me;enamoro;sea;de;vos;;;;;;;;
Y;que;de;tu;voz;sea;este;corazón;;;;;;;
Todos;los;días;a;Dios;le;pido;;;;;;;;
Que;si;me;muero;sea;de;amor;;;;;;;;
Y;si;me;enamoro;sea;de;vos;;;;;;;;
Y;que;de;tu;voz;sea;este;corazón;;;;;;;
Todos;los;días;a;Dios;le;pido;;;;;;;;
Que;si;me;muero;sea;de;amor;;;;;;;;
Y;si;me;enamoro;sea;de;vos;;;;;;;;
Y;que;de;tu;voz;sea;este;corazón;;;;;;;
Todos;los;días,;yo;;;;;;;;;;;
A;Dios;le;pido;;;;;;;;;;;
##;;;;;;;;;;;;;;
Tengo la camisa negra;Juanes;Mi Sangre;2004;https://www.youtube.com/watch?v=kRt2sRyup6A;canciones/La_camisa_negra.mid;;;;;;;;;
Tengo;la;camisa;negra;;;;;;;;;;;
Hoy;mi;amor;está;de;luto;;;;;;;;;
Hoy;tengo;en;el;alma;una;pena;;;;;;;;
Y;es;por;culpa;de;tu;embrujo;;;;;;;;
Hoy;sé;que;tú;ya;no;me;quieres;;;;;;;
Y;eso;es;lo;que;más;me;hiere;;;;;;;
Que;tengo;la;camisa;negra;;;;;;;;;;
Y;una;pena;que;me;duele;;;;;;;;;
--;;;;;;;;;;;;;;
Mal;parece;que;solo;me;quedé;;;;;;;;;
Y;fue;pura;todita;tu;mentira;;;;;;;;;
Que;maldita;mala;suerte;la;mía;;;;;;;;;
Que;aquel;día;te;encontré;;;;;;;;;;
--;;;;;;;;;;;;;;
Por;beber;del;veneno;malevo;de;tu;amor;;;;;;;
Yo;quedé;moribundo;y;lleno;de;dolor;;;;;;;;
Respiré;de;ese;humo;amargo;de;tu;adiós;;;;;;;
Y;desde;que;tú;te;fuiste;yo;solo;tengo;;;;;;
--;;;;;;;;;;;;;;
Tengo;la;camisa;negra;;;;;;;;;;;
Porque;negra;tengo;el;alma;;;;;;;;;;
Yo;por;ti;perdí;la;calma;;;;;;;;;
Y;casi;pierdo;hasta;mi;cama;;;;;;;;;
Cama,;cama,;come;on,;baby;;;;;;;;;;
Te;digo;con;disimulo;;;;;;;;;;;
Que;tengo;la;camisa;negra;;;;;;;;;;
Y;debajo;tengo;el;difunto;;;;;;;;;;
--;;;;;;;;;;;;;;
Tengo;la;camisa;negra;;;;;;;;;;;
Ya;tu;amor;no;me;interesa;;;;;;;;;
Lo;que;ayer;me;supo;a;gloria;;;;;;;;
Hoy;me;sabe;a;pura;;;;;;;;;;
Miércoles;por;la;tarde;y;tú;que;no;llegas;;;;;;
Ni;siquiera;muestras;señas;;;;;;;;;;;
Y;yo;con;la;camisa;negra;;;;;;;;;
Y;tus;maletas;en;la;puerta;;;;;;;;;
--;;;;;;;;;;;;;;
Mal;parece;que;solo;me;quedé;;;;;;;;;
Y;fue;pura;todita;tu;mentira;;;;;;;;;
Que;maldita;mala;suerte;la;mía;;;;;;;;;
Que;aquel;día;te;encontré;;;;;;;;;;
Por;beber;del;veneno;malevo;de;tu;amor;;;;;;;
Yo;quedé;moribundo;y;lleno;de;dolor;;;;;;;;
Respiré;de;ese;humo;amargo;de;tu;adiós;;;;;;;
Y;desde;que;tú;te;fuiste;yo;solo;tengo;;;;;;
--;;;;;;;;;;;;;;
Tengo;la;camisa;negra;;;;;;;;;;;
Porque;negra;tengo;el;alma;;;;;;;;;;
Yo;por;ti;perdí;la;calma;;;;;;;;;
Y;casi;pierdo;hasta;mi;cama;;;;;;;;;
Cama,;cama,;come;on,;baby;;;;;;;;;;
Te;digo;con;disimulo;;;;;;;;;;;
Que;tengo;la;camisa;negra;;;;;;;;;;
Y;debajo;tengo;el;difunto;;;;;;;;;;
--;;;;;;;;;;;;;;
Tengo;la;camisa;negra;;;;;;;;;;;
Porque;negra;tengo;el;alma;;;;;;;;;;
Yo;por;ti;perdí;la;calma;;;;;;;;;
Y;casi;pierdo;hasta;mi;cama;;;;;;;;;
Cama,;cama,;come;on,;baby;;;;;;;;;;
Te;digo;con;disimulo;;;;;;;;;;;
Que;tengo;la;camisa;negra;;;;;;;;;;
Y;debajo;tengo;el;difunto;;;;;;;;;;
##;;;;;;;;;;;;;;
Vivo por ella;Andrea Bocelli;Romanza Spanish Version;1997;https://www.youtube.com/watch?v=m5UcZ9thgPI;canciones/Vivo_por_ella.mid;;;;;;;;;
Vivo;por;ella;sin;saber;;;;;;;;;;
Si;la;encontré;o;me;ha;encontrado;;;;;;;;
Ya;no;recuerdo;cómo;fue;;;;;;;;;;
Pero;al;final;me;ha;conquistado;;;;;;;;;
--;;;;;;;;;;;;;;
Vivo;por;ella;que;me;da;;;;;;;;;
Toda;mi;fuerza;de;verdad;;;;;;;;;;
Vivo;por;ella;y;no;me;pesa;;;;;;;;
--;;;;;;;;;;;;;;
Vivo;por;ella;yo;también;;;;;;;;;;
No;te;me;pongas;tan;celoso;;;;;;;;;
Ella;entre;todas;es;la;más;;;;;;;;;
Dulce;y;caliente;como;un;beso;;;;;;;;;
--;;;;;;;;;;;;;;
Ella;a;mi;lado;siempre;está;;;;;;;;;
Para;apagar;mi;soledad;;;;;;;;;;;
Más;que;por;mí;;;;;;;;;;;
Por;ella,;yo;vivo;también;;;;;;;;;;
--;;;;;;;;;;;;;;
Es;la;musa;que;te;invita;;;;;;;;;
A;tocarla;suavecita;;;;;;;;;;;;
En;mi;piano;a;veces;triste;;;;;;;;;
La;muerte;no;existe;;;;;;;;;;;
Si;ella;está;aquí;;;;;;;;;;;
--;;;;;;;;;;;;;;
Vivo;por;ella;que;me;da;;;;;;;;;
Todo;el;afecto;que;le;sale;;;;;;;;;
A;veces;pega;de;verdad;;;;;;;;;;
Pero;es;un;puño;que;no;duele;;;;;;;;
--;;;;;;;;;;;;;;
Vivo;por;ella;que;me;da;;;;;;;;;
Fuerza,;valor;y;realidad;;;;;;;;;;;
Para;sentirme;un;poco;vivo;;;;;;;;;;
--;;;;;;;;;;;;;;
Cómo;duele;cuando;falta;(vivo;por;ella;en;un;hotel);;;;;
Cómo;brilla;fuerte;y;alta;(vivo;por;ella;en;propia;piel);;;;
Si;ella;canta;en;mi;garganta;;;;;;;;;
Mis;penas;más;negras;de;espanto;;;;;;;;;
--;;;;;;;;;;;;;;
Vivo;por;ella;y;nadie;más;;;;;;;;;
Puede;vivir;dentro;de;mí;;;;;;;;;;
Ella;me;da;la;vida,;la;vivo;;;;;;;;
--;;;;;;;;;;;;;;
Sí;está;junto;a;mí;;;;;;;;;;
Sí;está;junto;a;mí;;;;;;;;;;
--;;;;;;;;;;;;;;
Desde;un;palco;o;contra;un;muro;(vivo;por;ella;al;límite);;;
En;el;trance;más;oscuro;(vivo;por;ella;íntegra);;;;;;
--;;;;;;;;;;;;;;
Cada;día;una;conquista;;;;;;;;;;;
La;protagonista;es;ella;también;;;;;;;;;;
--;;;;;;;;;;;;;;
Vivo;por;ella;porque;va;;;;;;;;;;
Dándome;siempre;la;salida;;;;;;;;;;;
Porque;la;música;es;así;;;;;;;;;;
Fiel;y;sincera;de;por;vida;;;;;;;;;
--;;;;;;;;;;;;;;
Vivo;por;ella;que;me;da;;;;;;;;;
Noches;de;amor;y;libertad;;;;;;;;;;
Si;hubiese;otra;vida;;;;;;;;;;;
La;vivo;por;ella;también;;;;;;;;;;
--;;;;;;;;;;;;;;
Ella;se;llama;música;;;;;;;;;;;
Yo;vivo;también;(vivo;por;ella,;créeme);;;;;;;;
Por;ella;también;;;;;;;;;;;;
--;;;;;;;;;;;;;;
Yo;vivo;per;lei;;;;;;;;;;;
Yo;vivo;per;lei;;;;;;;;;;;
##;;;;;;;;;;;;;;
Maldito Duende;Heroes del Silencio;Senderos de traición;1991;https://www.youtube.com/watch?v=SqB4FSettTI;canciones/Maldito_duende.mid;;;;;;;;;
He;oído;que;la;noche;es;toda;magia;;;;;;;
Y;que;el;duende;te;invita;a;soñar;;;;;;;
Y;sé;que;últimamente;apenas;he;parado;;;;;;;;
Y;tengo;la;impresión;de;divagar;;;;;;;;;
Amanece;tan;pronto;y;yo;estoy;tan;solo;;;;;;;
Y;no;me;arrepiento;de;lo;de;ayer;;;;;;;
--;;;;;;;;;;;;;;
Si;las;estrellas;te;iluminan;;;;;;;;;;
Oh;y;te;sirven;de;guía;;;;;;;;;
Te;sientes;tan;fuerte;que;piensas;;;;;;;;;
Que;nadie;te;puede;tocar;;;;;;;;;;
--;;;;;;;;;;;;;;
Las;distancias;se;hacen;cortas;;;;;;;;;;
Pasan;rápidas;las;horas;;;;;;;;;;;
Y;este;cuarto;no;para;de;menguar;;;;;;;;
Y;tantas;cosas;por;decir;tanta;charla;por;aquí;;;;;;
Si;fuera;posible;escapar;de;este;lugar;;;;;;;;
Amanece;tan;pronto;y;yo;estoy;tan;solo;;;;;;;
Que;no;arrepiento;de;lo;de;lo;de;ayer;;;;;;
--;;;;;;;;;;;;;;
Si;las;estrellas;te;iluminan;;;;;;;;;;
Oh;y;te;sirven;de;guía;;;;;;;;;
Te;sientes;tan;fuerte;que;piensas;;;;;;;;;
Que;nadie;te;puede;tocar;;;;;;;;;;
--;;;;;;;;;;;;;;
Amanece;tan;pronto;y;yo;estoy;tan;solo;;;;;;;
Que;no;me;arrepiento;de;lo;de;ayer;;;;;;;
--;;;;;;;;;;;;;;
Si;las;estrellas;te;iluminan;;;;;;;;;;
Y;te;sirven;de;guía;;;;;;;;;;
Te;sientes;tan;fuerte;que;piensas;;;;;;;;;
Que;nadie;te;puede;tocar;;;;;;;;;;
##;;;;;;;;;;;;;;
En algún lugar;Ducan Dhu;En algún lugar;2008;https://www.youtube.com/watch?v=H1eAvX-8g08;canciones/En_algun_lugar.mid;;;;;;;;;
En;algún;lugar;de;un;gran;país;;;;;;;;
Olvidaron;construir;;;;;;;;;;;;;
Un;hogar;donde;no;queme;el;Sol;;;;;;;;
Y;al;nacer;no;haya;que;morir;;;;;;;;
--;;;;;;;;;;;;;;
Y;en;las;sombras;;;;;;;;;;;
Mueren;genios;sin;saber;;;;;;;;;;;
De;su;magia;;;;;;;;;;;;
Concedida,;sin;pedirlo;;;;;;;;;;;;
Mucho;tiempo;antes;de;nacer;;;;;;;;;;
--;;;;;;;;;;;;;;
No;hay;camino;que;;;;;;;;;;;
Llegue;hasta;aquí;;;;;;;;;;;;
Y;luego;prentenda;salir;;;;;;;;;;;
Con;el;fuego;de;;;;;;;;;;;
El;atardecer;;;;;;;;;;;;;
Arde;la;hierba;;;;;;;;;;;;
--;;;;;;;;;;;;;;
En;algún;lugar;de;un;gran;país;;;;;;;;
Olvidaron;construir;;;;;;;;;;;;;
Un;hogar;donde;no;queme;el;Sol;;;;;;;;
Y;al;nacer;no;haya;que;morir;;;;;;;;
Un;silbido;cruza;el;pueblo;;;;;;;;;;
Y;se;ve,;un;jinete;;;;;;;;;;
Que;se;marcha;con;el;viento;;;;;;;;;
Mientras;grita;;;;;;;;;;;;;
Que;no;va;a;volver;;;;;;;;;;
--;;;;;;;;;;;;;;
Y;la;tierra;aquí;;;;;;;;;;;
Es;de;otro;color;;;;;;;;;;;
El;polvo;lo;debe;saber;;;;;;;;;;
Los;hombres;ya;no;;;;;;;;;;;
Saben;si;lo;son;;;;;;;;;;;
Pero;lo;quieren;creer;;;;;;;;;;;
--;;;;;;;;;;;;;;
Las;madres;que;ya;;;;;;;;;;;
No;saben;llorar;;;;;;;;;;;;
Ven;a;sus;hijos;partir;;;;;;;;;;
La;tristeza;aquí;;;;;;;;;;;;
No;tiene;lugar;;;;;;;;;;;;
Cuando;lo;triste;es;vivir;;;;;;;;;;
--;;;;;;;;;;;;;;
Na;na-na;na;na;;;;;;;;;;;
Na;na-na;na-na;;;;;;;;;;;;
Na;na-na;na;na;;;;;;;;;;;
Na;na-na;na-na;;;;;;;;;;;;
##;;;;;;;;;;;;;;
Como camarón;Estopa;X anniversarium;2009;https://www.youtube.com/watch?v=JmP89cIGJZM;canciones/Como_Camaron.mid;;;;;;;;;
Superior;a;mí;;;;;;;;;;;;
es;la;fuerza;que;me;lleva;;;;;;;;;
en;el;pulso;que;mantengo;;;;;;;;;;
con;la;oscuridad;que;tiñen;;;;;;;;;;
de;oscuro;tus;ojos;negros;;;;;;;;;;
--;;;;;;;;;;;;;;
Y;que;me;cuentas;del;tiempo;;;;;;;;;
que;pasa;en;tu;pestañeo;;;;;;;;;;
que;me;trae;por;esta;calle;;;;;;;;;
de;amargura;y;de;lamento;;;;;;;;;;
--;;;;;;;;;;;;;;
Que;yo;sé;que;la;sonrisa;;;;;;;;;
que;se;dibuja;en;tu;cara;;;;;;;;;
tiene;que;ver;con;la;brisa;;;;;;;;;
que;abanica;tu;mirada;;;;;;;;;;;
--;;;;;;;;;;;;;;
Tan;despacio;y;tan;deprisa;;;;;;;;;;
tan;normal;y;tan;extraña;;;;;;;;;;
yo;me;parto;la;camisa;;;;;;;;;;
como;Camarón;;;;;;;;;;;;;
tu;te;rompes;las;entrañas;;;;;;;;;;
me;trepas;como;una;araña;;;;;;;;;;
bebes;del;sudor;que;empaña;;;;;;;;;;
el;cristasl;de;mi;habitación;;;;;;;;;;
y;despues;por;la;mañana;;;;;;;;;;
despierto;y;no;tengo;alas;;;;;;;;;;
llevo;10;horas;durmiendo;;;;;;;;;;;
y;mi;almohada;está;empapada;;;;;;;;;;
todo;habías;sido;un;sueño;;;;;;;;;;
muy;real;y;muy;profundo;;;;;;;;;;
tus;ojos;no;tienen;dueño;;;;;;;;;;
porque;no;son;de;este;mundo;;;;;;;;;
--;;;;;;;;;;;;;;
Que;no;te;quiero;mirar;;;;;;;;;;
pero;es;que;cierro;los;ojos;;;;;;;;;
y;hasta;te;veo;por;dentro;;;;;;;;;
te;veo;en;un;lado;y;en;otro;;;;;;;
en;cada;foto,;en;cada;espejo;;;;;;;;;
y;en;las;paradas;del;metro;;;;;;;;;
y;en;los;ojos;de;la;gente;;;;;;;;
hasta;en;las;sopas;mas;calientes;;;;;;;;;
loco;yo;me;estoy;volviendo;;;;;;;;;;
--;;;;;;;;;;;;;;
Que;yo;sé;que;la;sonrisa;;;;;;;;;
que;se;dibuja;en;tu;cara;;;;;;;;;
tiene;que;ver;con;la;brisa;;;;;;;;;
que;abanica;tu;mirada;;;;;;;;;;;
--;;;;;;;;;;;;;;
Tan;despacio;y;tan;deprisa;;;;;;;;;;
tan;normal;y;tan;extraña;;;;;;;;;;
yo;me;parto;la;camisa;;;;;;;;;;
como;Camarón;;;;;;;;;;;;;
tu;te;rompes;las;entrañas;;;;;;;;;;
